0,harmonized labeling,in cgc2 typelist,in cgc2 subtypelist,dc.type,dc.subtype,peer-reviewed y/n,dc.format,dc.title,dc.description,dc.subject,dc.subject vocab=GACS/AGROVOC/CAB,dc.creator,dc.creator ID,dc.creator Affiliation,dc.publisher,dc.contributor type=Project,dc.contributor Project Lead Center,dc.contributor type=Partner,dc.contributor type=CRP,dc.contributor type=Donor,dc.contact,dc.contact.email,dc.date,dc.date type=completion,dc.date type=availability,dc.language,dc.identifier,dc.identifier type=bibliographiCitation,dc.identifier type=identifier,dc.source,howpublished,booktitle,chapter,pages,volume,number,series,edition,notes,dc.relation,dc.relation hasFormat,dc.relation isFormatOf,dc.relation hasPart,dc.relation isPartOf,dc.relation hasVersion,dc.relation isVersionOf,dc.relation conformsTo,dc.relation replaces,dc.relation isReplacedBy,dc.relation references,dc.relation isReferencedBy,dc.relation requires,dc.relation isRequiredBy,isMetadataFor,dc.relation HasMetadata,dc.contributor type=person role=Editor,dc.contributor type=person role=HostingInstitution,dc.contributor type=person role=ProjectLeader,dc.contributor type=person role=Producer,dc.contributor type=person role=Data analyst,dc.contributor type=person role=Supervisor,dc.contributor type=person role=ServiceProvider,dc.contributor type=person role=Geoinformation Specialist,dc.contributor type=person role=translator,dc.contributor type=person role=other,dc.rights,dc.rights license,dc.rights RightsStatement,terms of use,dc.rights copyright holder,dc.targetaudience,event name,event type,event date,dc.coverage,dc.coverage type=Region,dc.coverage type=Country,dc.coverage type=Administrative Unit,dc.coverage type=AEZ (FAO),dc.coverage type=ChronologicalPeriod,dc.coverage type=ChronologicalPeriod eventtype=Single,dc.coverage type=ChronologicalPeriod eventtype=Start / End,dc.coverage type=geospatial X,dc.coverage type=geospatial Y,dc.coverage type=geospatial bounding box
192,Equation,0,1,required,recommended,optional,required,required,optional,recommended,optional,required,recommended,recommended,optional,required if applicable,recommended,required if applicable,required if applicable,required if applicable,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,not applicable,optional,not applicable,optional,optional,optional,optional,optional,recommended,optional,optional,not applicable,optional,required if applicable,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,optional,optional,optional,optional,optional,optional,optional,optional,
194,Factsheet,0,1,required,recommended,optional,required,required,optional,recommended,optional,required,recommended,optional,optional,optional,recommended,optional,optional,optional,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,optional,recommended,optional,optional,optional,optional,required if applicable,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,optional,optional,optional,optional,optional,optional,optional,optional,
196,Good Practice Note,0,1,required,recommended,optional,required,required,optional,recommended,optional,required,recommended,recommended,optional,required if applicable,recommended,required if applicable,required if applicable,required if applicable,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,not applicable,optional,not applicable,optional,optional,optional,optional,optional,recommended,optional,optional,optional,optional,required if applicable,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,required if applicable,optional,optional,optional,optional,optional,optional,optional,
202,Handbook,0,1,required,recommended,optional,required,required,optional,recommended,optional,required,recommended,recommended,recommended,required if applicable,recommended,required if applicable,required if applicable,required if applicable,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,optional,recommended,optional,optional,optional,optional,required if applicable,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,required if applicable,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,required if applicable,optional,optional,optional,optional,optional,optional,optional,
211,Internal Document,0,1,required,recommended,optional,required,required,optional,recommended,optional,required,recommended,recommended,optional,required if applicable,recommended,required if applicable,required if applicable,required if applicable,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,optional,recommended,optional,optional,optional,optional,required if applicable,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,required if applicable,optional,optional,optional,optional,optional,optional,optional,
214,internal document-standard operating procedure,0,1,required,recommended,optional,required,required,optional,recommended,optional,required,recommended,recommended,optional,optional,recommended,optional,optional,optional,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,optional,recommended,optional,optional,optional,optional,required if applicable,required if applicable,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,optional,optional,optional,optional,optional,optional,optional,optional,
231,Letter,0,1,required,recommended,optional,required,required,optional,recommended,optional,required,recommended,recommended,optional,optional,recommended,optional,optional,optional,optional,optional,required,required,required,required,required,recommended,required,optional,optional,not applicable,optional,not applicable,optional,optional,optional,optional,optional,recommended,optional,optional,optional,optional,required if applicable,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,optional,optional,optional,optional,optional,optional,optional,optional,
237,Mobile Message,0,1,required,recommended,optional,required,required,optional,recommended,optional,required,recommended,recommended,optional,optional,recommended,optional,optional,optional,optional,optional,required,required,required,required,required,recommended,required,optional,optional,not applicable,optional,not applicable,optional,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,optional,optional,optional,optional,optional,optional,optional,optional,
243,Newsletter Article,0,1,required,recommended,optional,required,required,optional,recommended,optional,required,required,recommended,recommended,optional,recommended,optional,optional,optional,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,not applicable,optional,not applicable,optional,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,optional,optional,optional,optional,optional,optional,optional,optional,
245,Newspaper Article,0,1,required,recommended,optional,required,required,optional,recommended,optional,required,recommended,recommended,recommended,optional,recommended,optional,optional,optional,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,not applicable,optional,not applicable,optional,optional,optional,optional,optional,recommended,optional,optional,optional,required if applicable,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,optional,optional,optional,optional,optional,optional,optional,optional,
246,Note,0,1,required,recommended,optional,required,required,optional,recommended,optional,required,recommended,optional,optional,optional,recommended,optional,optional,optional,optional,optional,required,required,required,required,required,recommended,required,optional,optional,not applicable,optional,not applicable,optional,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,optional,optional,optional,optional,optional,optional,optional,optional,
258,Pamphlet,0,1,required,recommended,optional,required,required,optional,recommended,optional,required,recommended,optional,optional,required if applicable,recommended,required if applicable,required if applicable,required if applicable,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,required if applicable,optional,optional,optional,optional,optional,optional,optional,
259,Paper-briefing,0,1,required,recommended,optional,required,required,optional,recommended,optional,required,recommended,recommended,optional,required if applicable,recommended,required if applicable,required if applicable,required if applicable,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,required if applicable,optional,optional,optional,optional,optional,optional,optional,
263,Paper-poster paper,0,1,required,recommended,optional,required,required,optional,recommended,optional,required,recommended,recommended,optional,required if applicable,recommended,required if applicable,required if applicable,required if applicable,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,recommended,recommended,recommended,required if applicable,optional,required if applicable,optional,optional,optional,optional,optional,optional,optional,
264,Paper-Project plan,0,1,required,recommended,optional,required,required,optional,recommended,optional,required,recommended,recommended,optional,required,recommended,required if applicable,required if applicable,required if applicable,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,optional,recommended,optional,optional,optional,optional,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,required if applicable,optional,optional,optional,optional,optional,optional,optional,
274,Policy Brief,0,1,required,recommended,optional,required,required,optional,recommended,optional,required,recommended,recommended,optional,required if applicable,recommended,required if applicable,required if applicable,required if applicable,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,optional,recommended,optional,optional,optional,optional,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,required if applicable,optional,optional,optional,optional,optional,optional,optional,
286,Press Release,0,1,required,recommended,optional,required,required,optional,recommended,optional,required,recommended,recommended,optional,required if applicable,recommended,required if applicable,required if applicable,required if applicable,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,optional,recommended,optional,optional,optional,optional,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,required if applicable,optional,optional,optional,optional,optional,optional,optional,
290,protocol-experimental protocol,0,1,required,recommended,optional,required,required,optional,recommended,optional,required,required,recommended,optional,required if applicable,recommended,required if applicable,required if applicable,required if applicable,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,required if applicable,optional,optional,optional,optional,optional,optional,optional,
291,questionnaire,0,1,required,recommended,optional,required,required,optional,recommended,optional,required,required,recommended,optional,required if applicable,recommended,required if applicable,required if applicable,required if applicable,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,required if applicable,optional,optional,optional,optional,optional,optional,optional,
295,Report-Annual Report,0,1,required,recommended,optional,required,required,optional,recommended,optional,required,required,recommended,recommended,required if applicable,recommended,required if applicable,required if applicable,required if applicable,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,optional,recommended,optional,optional,optional,optional,required if applicable,required if applicable,optional,optional,optional,optional,optional,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,required if applicable,optional,optional,optional,optional,optional,optional,optional,
299,Report-Donor Report,0,1,required,recommended,optional,required,required,optional,recommended,optional,required,required,recommended,recommended,required if applicable,recommended,required if applicable,required if applicable,required if applicable,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,optional,recommended,optional,optional,optional,optional,required if applicable,required if applicable,optional,optional,optional,optional,optional,optional,optional,optional,optional,recommended,optional,recommended,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,required if applicable,optional,optional,optional,optional,optional,optional,optional,
302,Report-Meeting report,0,1,required,recommended,optional,required,required,optional,recommended,optional,required,required,recommended,recommended,required if applicable,recommended,required if applicable,required if applicable,required if applicable,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,optional,recommended,optional,optional,optional,optional,required if applicable,required if applicable,optional,optional,optional,optional,optional,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,recommended,recommended,recommended,required if applicable,optional,required if applicable,optional,optional,optional,optional,optional,optional,optional,
308,Report-Project Report,0,1,required,recommended,optional,required,required,optional,recommended,optional,required,required,recommended,recommended,required,recommended,required if applicable,required if applicable,required if applicable,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,optional,recommended,optional,optional,optional,optional,required if applicable,required if applicable,optional,optional,optional,optional,optional,optional,optional,optional,optional,recommended,optional,required,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,required if applicable,optional,optional,optional,optional,optional,optional,optional,
325,source Code-algorithm,0,1,required,recommended,optional,required,required,optional,recommended,optional,required,recommended,recommended,optional,required if applicable,recommended,required if applicable,required if applicable,required if applicable,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,not applicable,optional,not applicable,optional,optional,optional,optional,optional,recommended,optional,optional,optional,optional,required if applicable,required if applicable,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,required if applicable,optional,optional,optional,optional,optional,optional,optional,
326,source Code-script,0,1,required,recommended,optional,required,required,optional,recommended,optional,required,recommended,recommended,optional,required if applicable,recommended,required if applicable,required if applicable,required if applicable,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,not applicable,optional,not applicable,optional,optional,optional,optional,optional,recommended,optional,optional,optional,optional,required if applicable,required if applicable,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,required if applicable,optional,optional,optional,optional,optional,optional,optional,
343,Test,0,1,required,recommended,optional,required,required,optional,recommended,optional,required,required if applicable,optional,optional,required if applicable,recommended,required if applicable,required if applicable,required if applicable,recommended,recommended,required,required,required,required,required,optional,required,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,optional,recommended,optional,optional,optional,required if applicable,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,required if applicable,optional,optional,optional,optional,optional,optional,optional,
359,training material-exercise,0,1,required,recommended,optional,required,required,optional,recommended,optional,required,recommended,recommended,optional,required if applicable,recommended,required if applicable,required if applicable,required if applicable,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,optional,recommended,optional,optional,optional,required if applicable,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,recommended,recommended,recommended,required if applicable,optional,required if applicable,optional,optional,optional,optional,optional,optional,optional,
360,training material-lesson,0,1,required,recommended,optional,required,required,optional,recommended,optional,required,recommended,recommended,optional,required if applicable,recommended,required if applicable,required if applicable,required if applicable,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,optional,recommended,optional,optional,optional,required if applicable,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,recommended,recommended,recommended,required if applicable,optional,required if applicable,optional,optional,optional,optional,optional,optional,optional,
365,training manual,0,1,required,recommended,optional,required,required,optional,recommended,optional,required,recommended,recommended,optional,required if applicable,recommended,required if applicable,required if applicable,required if applicable,recommended,recommended,required,required,required,required,required,optional,required,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,optional,recommended,optional,optional,optional,required if applicable,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,recommended,recommended,recommended,required if applicable,optional,required if applicable,optional,optional,optional,optional,optional,optional,optional,
9,ontology,0,1,required,recommended,optional,required,required,required,required,required if applicable,required,required,recommended,recommended,required if applicable,recommended,optional,required if applicable,optional,optional,optional,required,required,required,required,required,recommended,required,optional,optional,not applicable,optional,not applicable,optional,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,recommended,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,optional,optional,optional,optional,optional,optional,optional,optional,
14,authority file,0,1,required,recommended,optional,required,required,required,required,required if applicable,required,required,recommended,recommended,required if applicable,recommended,optional,required if applicable,optional,optional,optional,required,required,required,required,required,recommended,required,optional,optional,not applicable,optional,not applicable,optional,optional,optional,optional,optional,recommended,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,required if applicable,required if applicable,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,optional,optional,optional,optional,optional,optional,optional,optional,
37,interactive resource,0,1,required,recommended,optional,required,required,required,required,recommended,required,recommended,recommended,optional,required if applicable,recommended,required if applicable,required if applicable,required if applicable,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,optional,recommended,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,required if applicable,optional,optional,optional,optional,optional,optional,optional,
341,Template,0,1,required,recommended,optional,required,required,recommended,optional,optional,required if applicable,required if applicable,optional,optional,optional,recommended,required if applicable,required if applicable,required if applicable,recommended,recommended,required,required,required,required,required,optional,required,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,optional,optional,optional,optional,optional,optional,optional,optional,
151,Book-Peer-Reviewed,0,1,required,recommended,optional,required,required,optional,required if applicable,optional,required,required,recommended,required,required if applicable,recommended,required if applicable,required if applicable,required if applicable,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,optional,recommended,optional,optional,optional,required,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required if applicable,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,required if applicable,optional,optional,optional,optional,optional,optional,optional,
152,Book-textbook,0,1,required,recommended,optional,required,required,optional,required if applicable,optional,required,recommended,recommended,required if applicable,required if applicable,recommended,required if applicable,required if applicable,required if applicable,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,optional,recommended,optional,optional,optional,required,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required if applicable,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,required if applicable,optional,optional,optional,optional,optional,optional,optional,
159,Conference Abstract,0,1,required,recommended,optional,required,required,optional,required if applicable,required if applicable,required,required,recommended,optional,required if applicable,recommended,required if applicable,required if applicable,required if applicable,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,optional,recommended,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,recommended,recommended,recommended,required if applicable,optional,required if applicable,optional,optional,optional,optional,optional,optional,optional,
161,Conference Paper not in proceedings,0,1,required,recommended,optional,required,required,optional,required if applicable,required if applicable,required,required,recommended,optional,required if applicable,recommended,required if applicable,required if applicable,required if applicable,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,recommended,recommended,recommended,required if applicable,optional,required if applicable,optional,optional,optional,optional,optional,recommended,recommended,
186,E-Mail,0,1,required,recommended,optional,required,required,optional,optional,optional,required,required,recommended,optional,optional,recommended,optional,optional,optional,optional,optional,required,required,required,required,required,recommended,required,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,optional,recommended,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,optional,optional,optional,optional,optional,optional,optional,optional,
348,Thesis-Bachelor,0,1,required,recommended,optional,required,required,optional,required if applicable,required if applicable,required,required,recommended,optional,required if applicable,recommended,required if applicable,required if applicable,required if applicable,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,optional,optional,required if applicable,required,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,required if applicable,optional,optional,optional,required if applicable,required if applicable,required if applicable,required if applicable,
349,Thesis-Dissertation,0,0,required,recommended,optional,required,required,optional,required if applicable,required if applicable,required,required,recommended,optional,required if applicable,recommended,required if applicable,required if applicable,required if applicable,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,optional,optional,required if applicable,required,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,required if applicable,optional,optional,optional,required if applicable,required if applicable,required if applicable,required if applicable,
350,Thesis-Master,0,0,required,recommended,optional,required,required,optional,required if applicable,required if applicable,required,required,recommended,optional,required if applicable,recommended,required if applicable,required if applicable,required if applicable,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,optional,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,optional,optional,required if applicable,required,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,required if applicable,optional,optional,optional,required if applicable,required if applicable,required if applicable,required if applicable,
12,Dataset,0,0,required,recommended,optional,required,required,required,required,required if applicable,required,required,required if applicable,required if applicable,required,recommended,required if applicable,required if applicable,required,required,required,required,required,required,required,required,recommended,required,optional,optional,not applicable,not applicable,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,optional,optional,required if applicable,required if applicable,required if applicable,recommended,required if applicable,required if applicable,recommended,required if applicable,optional,optional,optional,optional,optional,optional,optional,optional,recommended,optional,required if applicable,optional,recommended,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,required if applicable,optional,recommended,optional,optional,optional,required if applicable,required if applicable,
2,data,0,0,required,recommended,optional,required,required,required,required,required if applicable,required,required,required if applicable,required if applicable,required,recommended,required if applicable,required if applicable,required,required,required,required,required,required,required,nix,recommended,required,optional,optional,not applicable,not applicable,not applicable,not applicable,optional,optional,optional,optional,recommended,optional,optional,optional,optional,required if applicable,nix,nix,required if applicable,nix,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,recommended,optional,required if applicable,optional,recommended,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,optional,optional,optional,optional,optional,optional,optional,optional,
103,collection-book set,0,0,required,recommended,optional,required,required,optional,recommended,optional,required,required,recommended,optional,required if applicable,recommended,required if applicable,required if applicable,required if applicable,recommended,recommended,required,required,required,required,required,recommended,required,optional,optional,not applicable,optional,optional,optional,optional,optional,optional,optional,recommended,optional,optional,recommended,optional,optional,nix,nix,optional,nix,optional,optional,optional,optional,optional,optional,required if applicable,optional,optional,optional,optional,optional,optional,optional,optional,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,required if applicable,optional,optional,optional,optional,optional,optional,optional,
93,Sound recording,0,1,required,recommended,optional,required,required,recommended,recommended,recommended,required,required,required if applicable,required,required,recommended,recommended,required if applicable,required,recommended,recommended,required,required,required,required if applicable,required,recommended,required,required if applicable,optional,not applicable,not applicable,not applicable,optional,not applicable,not applicable,not applicable,optional,recommended,optional,optional,optional,recommended,optional,recommended,optional,optional,optional,recommended,recommended,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,recommended,optional,required,required if applicable,required if applicable,required if applicable,required if applicable,not applicable,optional,optional,optional,required if applicable,optional,required if applicable,optional,recommended,optional,recommended,recommended,optional,optional,
